62	63	7	1333461652
164	172	10	1333461725
204	214	9	1333461752
243	258	1	1333461780
386	412	9	1333461878
494	528	1	1333461968
243	618	1	1333462035
701	756	1	1333462137
740	799	1	1333462169
791	852	1	1333462207
872	938	2	1333462264
1025	1104	11	1333462392
1153	1238	128	1333462505
1225	1312	96	1333462569
844	1316	83	1333462570
1308	1401	3	1333462637
1308	1546	1	1333462761
1447	1557	9	1333462768
1542	1666	1	1333462846
1588	1722	2	1333462893
1447	1989	7	1333463098
1822	2000	1	1333463103
1959	2156	17	1333463258
1966	2163	4	1333463263
2059	528	2	1333463350
2102	2321	1	1333463396
2059	2448	1	1333463496
1443	2830	3	1333463816
1751	528	3	1333463832
2598	2914	3	1333463891
2702	3036	2	1333463976
2744	3085	18	1333464018
2776	3117	1	1333464040
1966	3250	1	1333464145
2905	3268	2	1333464169
2907	3271	1	1333464174
2915	3279	1	1333464185
3079	3470	1	1333464339
3150	3553	3	1333464421
3370	3829	6	1333464663
3435	3906	1	1333464746
3720	4246	16	1333465066
3780	4318	1	1333465136
3780	4462	1	1333465269
3892	4464	9	1333465276
3903	4480	15	1333465288
4029	4636	1	1333465426
4031	4638	33	1333465427
4070	4686	1	1333465473
4166	4810	2	1333465679
4070	3906	1	1333465738
3370	4966	3	1333465789
4325	5025	9	1333465834
4351	5055	8	1333465856
4488	5227	5	1333465977
4555	5313	1	1333466044
4567	4191	7	1333466055
4575	5338	1	1333466064
4587	5352	1	1333466075
4587	5369	1	1333466087
4587	5382	1	1333466098
4365	5390	18	1333466104
4651	5444	34	1333466162
4690	5494	1	1333466201
4735	5545	1	1333466244
4750	5560	1	1333466254
4775	5594	1	1333466285
4847	5687	6	1333466394
4890	5748	26	1333466453
4957	5841	1	1333466554
5060	5983	13	1333466689
5136	6071	19	1333466771
5224	6183	2	1333466933
5337	6337	17	1333467102
5337	6385	19	1333467151
5337	424	12	1333467179
391	6433	1	1333467201
5430	6470	2	1333467232
5465	6515	1	1333467288
5498	6563	3	1333467338
5337	6581	18	1333467358
5564	528	1	1333467417
5619	6707	24	1333467496
5723	3761	1	1333467632
4070	6853	1	1333467652
5798	6938	1	1333467742
5802	6943	13	1333467744
4070	7030	1	1333467841
6011	7212	20	1333468042
6026	7231	37	1333468063
6141	7379	8	1333468232
6164	7414	5	1333468267
4070	7511	1	1333468358
4775	7605	3	1333468451
6326	7646	91	1333468495
6341	7662	1	1333468509
2598	7790	1	1333468662
6444	7795	14	1333468664
6444	7810	23	1333468681
6568	7952	16	1333468837
6601	4191	3	1333468898
6618	8034	1	1333468926
5723	8100	1	1333469007
844	8138	1	1333469039
5723	8186	1	1333469107
5840	8230	2	1333469156
6568	8337	18	1333469268
4070	8349	1	1333469276
6852	8358	47	1333469283
6853	8360	43	1333469284
4070	8413	1	1333469344
6924	8471	71	1333469395
6975	8545	2	1333469488
5840	8561	23	1333469505
5723	4686	1	1333469508
6975	8567	7	1333469514
5723	8674	1	1333469617
6975	8795	1	1333469746
7159	8827	1	1333469784
5250	8853	2	1333469819
7219	4670	2	1333469878
7244	8939	1	1333469916
7320	5313	1	1333470012
7353	9105	9	1333470072
7370	9135	1	1333470098
7518	8349	1	1333470311
7538	9400	2	1333470336
7518	9419	1	1333470360
5564	9428	1	1333470369
7539	9454	1	1333470392
5250	9517	4	1333470464
7623	9520	23	1333470470
7770	9725	3	1333470679
7772	9728	18	1333470685
7795	7646	1	1333470711
7822	9801	1	1333470755
7244	9890	1	1333470852
6164	9896	1	1333470860
7676	6515	1	1333470873
8061	10163	1	1333471130
8061	10206	1	1333471178
8216	10378	3	1333471346
8241	10409	6	1333471396
