13066,842554,5
13066,94521,4
13066,14652,3
13066,1307561,2
13066,233537,1
61523,212044,5
61523,178731,4
61523,110868,3
61523,1277095,2
61523,85041,1
68897,964783,5
68897,1304516,4
68897,606811,3
68897,74172,2
68897,556486,1
92058,411999,5
92058,17934,4
92058,16902,3
92058,79402,2
92058,21279,1
4847,187853,5
4847,528552,4
4847,310705,3
4847,15357,2
4847,629357,1
47909,163922,5
47909,1146136,4
47909,875956,3
47909,1071996,2
47909,606122,1
63247,164028,5
63247,177535,4
63247,443396,3
63247,704516,2
63247,236213,1
183694,1932479,5
183694,3004847,4
183694,4723,3
183694,1452889,2
183694,1910337,1
135337,131679,5
135337,1058926,4
135337,412751,3
135337,294376,2
135337,235780,1
167689,128276,5
167689,173234,4
167689,1492720,3
167689,297943,2
167689,84945,1
105336,78897,5
105336,356883,4
105336,81852,3
105336,241611,2
105336,146245,1
91041,302809,5
91041,180108,4
91041,223001,3
91041,1921050,2
91041,23260,1
124720,1225781,5
124720,452899,4
124720,582591,3
124720,103909,2
124720,354653,1
58083,66598,5
58083,615428,4
58083,250521,3
58083,2174722,2
58083,816328,1
1587,786143,5
1587,2772687,4
1587,332231,3
1587,675262,2
1587,159767,1
137339,1087930,5
137339,43238,4
137339,24587,3
137339,908461,2
137339,182193,1
72950,1568935,5
72950,246927,4
72950,68005,3
72950,2636813,2
72950,188061,1
61546,2940782,5
61546,84142,4
61546,357014,3
61546,235876,2
61546,447021,1
69658,835143,5
69658,1002303,4
69658,334057,3
69658,134989,2
69658,336754,1
101413,327186,5
101413,170240,4
101413,679353,3
101413,224428,2
101413,1073262,1
127365,995837,5
127365,249730,4
127365,46553,3
127365,761498,2
127365,833919,1
46853,145059,5
46853,366314,4
46853,1221052,3
46853,211601,2
46853,135455,1
105086,364118,5
105086,356625,4
105086,228952,3
105086,414584,2
105086,1020568,1
68975,619288,5
68975,176725,4
68975,999915,3
68975,290037,2
68975,2389442,1
221833,1538394,5
221833,1587755,4
221833,30148,3
221833,183465,2
221833,2056331,1
164147,17944,5
164147,1897160,4
164147,278621,3
164147,375096,2
164147,224900,1
101556,39242,5
101556,170894,4
101556,649572,3
101556,3201691,2
101556,1153403,1
192679,274979,5
192679,171880,4
192679,894964,3
192679,518707,2
192679,372307,1
11912,847675,5
11912,452452,4
11912,112161,3
11912,223140,2
11912,110868,1
19981,213369,5
19981,1339328,4
19981,629501,3
19981,584922,2
19981,170486,1
13072,1361294,5
13072,696575,4
13072,415444,3
13072,694512,2
13072,374268,1
26422,332450,5
26422,176388,4
26422,110450,3
26422,533089,2
26422,506151,1
209435,76842,5
209435,1424481,4
209435,25148,3
209435,2765316,2
209435,92095,1
173854,126249,5
173854,431827,4
173854,131764,3
173854,1764146,2
173854,987340,1
16431,342032,5
16431,728421,4
16431,35380,3
16431,361527,2
16431,78873,1
50317,727548,5
50317,460291,4
50317,569804,3
50317,216313,2
50317,414693,1
181119,2756336,5
181119,7604,4
181119,977653,3
181119,1163050,2
181119,96789,1
67753,932559,5
67753,583188,4
67753,1399880,3
67753,224164,2
67753,1521667,1
116650,845206,5
116650,299423,4
116650,94545,3
116650,250705,2
116650,419242,1
18968,130407,5
18968,447230,4
18968,1989,3
18968,1176674,2
18968,3184889,1
224435,1159592,5
224435,222528,4
224435,521385,3
224435,1482085,2
224435,151319,1
15622,531308,5
15622,88471,4
15622,3037308,3
15622,811956,2
15622,143708,1
244359,2357251,5
244359,840785,4
244359,531308,3
244359,760390,2
244359,163927,1
21266,126249,5
21266,266650,4
21266,1484472,3
21266,133618,2
21266,585305,1
14949,1616265,5
14949,572293,4
14949,258,3
14949,732136,2
14949,100793,1
23214,498149,5
23214,11503,4
23214,94607,3
23214,146781,2
23214,3289153,1
26774,2208622,5
26774,1465989,4
26774,259226,3
26774,204865,2
26774,31489,1
72035,207229,5
72035,3231074,4
72035,649580,3
72035,66598,2
72035,73293,1
6824,1236034,5
6824,493575,4
6824,1996100,3
6824,42953,2
6824,1468418,1
5224,579641,5
5224,1511255,4
5224,104825,3
5224,2156,2
5224,905014,1
146980,247473,5
146980,612334,4
146980,136615,3
146980,223291,2
146980,385875,1
14272,3095717,5
14272,748453,4
14272,305311,3
14272,171399,2
14272,585129,1
145196,1422214,5
145196,91191,4
145196,747582,3
145196,164611,2
145196,1129665,1
4495,210437,5
4495,223559,4
4495,419257,3
4495,875956,2
4495,339246,1
97124,421343,5
97124,93602,4
97124,412721,3
97124,100949,2
97124,214186,1
162,179682,5
162,35956,4
162,298551,3
162,12648,2
162,703557,1
47321,616814,5
47321,164472,4
47321,703905,3
47321,177181,2
47321,5055,1
176403,46180,5
176403,1106646,4
176403,708480,3
176403,32089,2
176403,183147,1
196641,40906,5
196641,17720,4
196641,2737319,3
196641,293509,2
196641,45705,1
66900,539805,5
66900,202728,4
66900,236811,3
66900,936201,2
66900,492444,1
124735,172784,5
124735,585129,4
124735,107832,3
124735,1186405,2
124735,3470473,1
118546,653718,5
118546,672615,4
118546,473265,3
118546,209205,2
118546,1682032,1
40376,473985,5
40376,1393512,4
40376,380914,3
40376,158613,2
40376,79938,1
62066,81910,5
62066,903495,4
62066,416614,3
62066,326138,2
62066,413081,1
11258,330724,5
11258,182487,4
11258,2832432,3
11258,1215564,2
11258,28947,1
90931,952523,5
90931,883110,4
90931,213801,3
90931,82556,2
90931,33513,1
207905,376166,5
207905,1211455,4
207905,299268,3
207905,1863376,2
207905,2769978,1
100058,91812,5
100058,214621,4
100058,159284,3
100058,158573,2
100058,582682,1
90066,442852,5
90066,111139,4
90066,411999,3
90066,154113,2
90066,236811,1
140848,455225,5
140848,215594,4
140848,3140086,3
140848,57078,2
140848,426633,1
10773,1925700,5
10773,2765918,4
10773,2654207,3
10773,447779,2
10773,82284,1
160598,26927,5
160598,172620,4
160598,586273,3
160598,2254166,2
160598,8561,1
15877,79146,5
15877,1415520,4
15877,2498002,3
15877,164005,2
15877,93952,1
740,379537,5
740,493011,4
740,484280,3
740,172480,2
740,2860259,1
109772,328973,5
109772,31948,4
109772,136090,3
109772,355668,2
109772,1401,1
111036,5071,5
111036,223401,4
111036,1678569,3
111036,1688265,2
111036,448654,1
13279,243624,5
13279,412825,4
13279,1054195,3
13279,1230033,2
13279,1668241,1
201474,618227,5
201474,910087,4
201474,1156601,3
201474,495424,2
201474,83189,1
60232,158285,5
60232,252604,4
60232,174521,3
60232,31906,2
60232,101229,1
104278,657720,5
104278,589550,4
104278,33972,3
104278,1372244,2
104278,267623,1
202306,30961,5
202306,26626,4
202306,695617,3
202306,202219,2
202306,525044,1
131708,2582481,5
131708,574016,4
131708,129996,3
131708,30642,2
131708,531429,1
63825,68497,5
63825,2551560,4
63825,155320,3
63825,41957,2
63825,725567,1
14092,41195,5
14092,959975,4
14092,2773774,3
14092,169929,2
14092,377138,1
34462,100179,5
34462,171385,4
34462,154811,3
34462,611097,2
34462,725340,1
69783,21064,5
69783,787650,4
69783,70449,3
69783,409316,2
69783,293418,1
142205,694707,5
142205,507366,4
142205,551704,3
142205,281223,2
142205,221326,1
53926,167086,5
53926,241246,4
53926,1146547,3
53926,270458,2
53926,203681,1
208169,223598,5
208169,372344,4
208169,107438,3
208169,419257,2
208169,864724,1
189403,254063,5
189403,451050,4
189403,281156,3
189403,1403990,2
189403,49200,1
1031,6071,5
1031,452252,4
1031,798238,3
1031,643408,2
1031,83666,1
114073,50023,5
114073,583694,4
114073,172315,3
114073,529212,2
114073,223401,1
120123,108035,5
120123,319525,4
120123,3374677,3
120123,8186,2
120123,3312871,1
127220,211214,5
127220,336201,4
127220,213877,3
127220,130230,2
127220,421535,1
14240,2231274,5
14240,600097,4
14240,353079,3
14240,255937,2
14240,771590,1
63985,1921050,5
63985,890600,4
63985,569117,3
63985,5369,2
63985,671675,1
251349,2003517,5
251349,617522,4
251349,109673,3
251349,923640,2
251349,74519,1
66783,3231664,5
66783,108755,4
66783,223001,3
66783,97319,2
66783,88837,1
94562,1313368,5
94562,414693,4
94562,128276,3
94562,231159,2
94562,241140,1
4042,747094,5
4042,170693,4
4042,1151578,3
4042,301925,2
4042,130471,1
109034,1017264,5
109034,832850,4
109034,2586271,3
109034,112202,2
109034,528681,1
225173,498149,5
225173,216212,4
225173,2462156,3
225173,27072,2
225173,78539,1
69024,833070,5
69024,413081,4
69024,2174722,3
69024,234412,2
69024,23646,1
218996,2624,5
218996,295638,4
218996,1550594,3
218996,107410,2
218996,614213,1
21608,221979,5
21608,133618,4
21608,1307141,3
21608,379629,2
21608,615200,1
78452,1091613,5
78452,414902,4
78452,623515,3
78452,6337,2
78452,94607,1
69542,54211,5
69542,3504861,4
69542,1030404,3
69542,123149,2
69542,607257,1
62976,19373,5
62976,2237787,4
62976,336087,3
62976,682926,2
62976,615924,1
78534,122287,5
78534,416089,4
78534,105654,3
78534,22418,2
78534,259941,1
254559,334037,5
254559,1800116,4
254559,2753890,3
254559,21067,2
254559,329073,1
98665,170325,5
98665,993036,4
98665,160690,3
98665,442730,2
98665,85384,1
1723,325413,5
1723,1629854,4
1723,623047,3
1723,3628130,2
1723,1748323,1
15506,379537,5
15506,792743,4
15506,1386071,3
15506,127307,2
15506,199514,1
78315,2861201,5
78315,134982,4
78315,1852896,3
78315,1945908,2
78315,150264,1
50255,3418171,5
50255,398628,4
50255,14627,3
50255,111628,2
50255,1277095,1
64033,295110,5
64033,1655781,4
64033,397447,3
64033,1874992,2
64033,833707,1
68655,2839588,5
68655,1201883,4
68655,1945908,3
68655,214212,2
68655,224164,1
25743,131547,5
25743,1706431,4
25743,1071873,3
25743,89445,2
25743,359943,1
53896,3091061,5
53896,20840,4
53896,2705371,3
53896,191702,2
53896,178397,1
52782,164147,5
52782,2000332,4
52782,453379,3
52782,320838,2
52782,257978,1
53186,1586247,5
53186,1790941,4
53186,1393253,3
53186,181980,2
53186,178690,1
141510,14113,5
141510,905451,4
141510,160459,3
141510,618,2
141510,292383,1
240401,236913,5
240401,2851424,4
240401,43015,3
240401,1570658,2
240401,237659,1
45784,321912,5
45784,845733,4
45784,533045,3
45784,374567,2
45784,976350,1
90842,2391462,5
90842,582591,4
90842,136012,3
90842,15965,2
90842,97313,1
64987,3212256,5
64987,221686,4
64987,151238,3
64987,680106,2
64987,223572,1
119420,20568,5
119420,90761,4
119420,728858,3
119420,245649,2
119420,305448,1
5333,1211951,5
5333,1422998,4
5333,267623,3
5333,420279,2
5333,748112,1
69806,534595,5
69806,97435,4
69806,361915,3
69806,674105,2
69806,158473,1
71417,218042,5
71417,23785,4
71417,1110163,3
71417,419908,2
71417,1193,1
71670,549430,5
71670,1917583,4
71670,455686,3
71670,1014443,2
71670,473549,1
54034,208617,5
54034,1278597,4
54034,939631,3
54034,162936,2
54034,333829,1
1128,416797,5
1128,44322,4
1128,925704,3
1128,293438,2
1128,806237,1
38867,269583,5
38867,923640,4
38867,2489446,3
38867,103606,2
38867,1159743,1
150917,254318,5
150917,294624,4
150917,261117,3
150917,442730,2
150917,383474,1
167917,291479,5
167917,375834,4
167917,938461,3
167917,252054,2
167917,22772,1
54160,105614,5
54160,4786,4
54160,411075,3
54160,929554,2
54160,355744,1
86685,426505,5
86685,1373303,4
86685,148194,3
86685,181276,2
86685,651213,1
39107,254460,5
39107,378766,4
39107,609813,3
39107,2230937,2
39107,214,1
83472,256933,5
83472,245008,4
83472,158022,3
83472,416135,2
83472,1691265,1
239940,679458,5
239940,748453,4
239940,645211,3
239940,287949,2
239940,456911,1
100943,379629,5
100943,425497,4
100943,960475,3
100943,172396,2
100943,534535,1
14045,476052,5
14045,1775834,4
14045,1800116,3
14045,1266761,2
14045,143798,1
204262,902966,5
204262,72746,4
204262,242586,3
204262,543590,2
204262,925314,1
182882,823267,5
182882,787452,4
182882,296952,3
182882,79192,2
182882,2019048,1
11849,1401215,5
11849,192706,4
11849,942826,3
11849,262002,2
11849,179682,1
137099,1918344,5
137099,101423,4
137099,122096,3
137099,14394,2
137099,24693,1
15742,211601,5
15742,478258,4
15742,770580,3
15742,2521515,2
15742,1538476,1
101414,49434,5
101414,449288,4
101414,403015,3
101414,817174,2
101414,671634,1
111156,161059,5
111156,1154333,4
111156,1053547,3
111156,361150,2
111156,106008,1
97898,374297,5
97898,210915,4
97898,122106,3
97898,896888,2
97898,1017924,1
32065,3829,5
32065,1399880,4
32065,2751307,3
32065,1544677,2
32065,88602,1
80530,410175,5
80530,413753,4
80530,175651,3
80530,149496,2
80530,1887012,1
45621,1052411,5
45621,373042,4
45621,456619,3
45621,26683,2
45621,619510,1
91611,215146,5
91611,2491802,4
91611,101064,3
91611,450105,2
91611,108351,1
17829,1871827,5
17829,456681,4
17829,933620,3
17829,574191,2
17829,621371,1
96565,726639,5
96565,283650,4
96565,1422214,3
96565,425896,2
96565,774618,1
74942,1989167,5
74942,1050029,4
74942,252230,3
74942,414603,2
74942,2188222,1
84266,609813,5
84266,437411,4
84266,131128,3
84266,1322373,2
84266,2764788,1
80610,477977,5
80610,443951,4
80610,220334,3
80610,1403821,2
80610,213741,1
248807,2322408,5
248807,838477,4
248807,234653,3
248807,1511255,2
248807,1602966,1
168015,550373,5
168015,488208,4
168015,814217,3
168015,204635,2
168015,232683,1
148477,423220,5
148477,64398,4
148477,1131252,3
148477,243943,2
148477,177511,1
121824,78068,5
121824,297357,4
121824,286146,3
121824,378257,2
121824,68768,1
13849,110450,5
13849,86204,4
13849,186531,3
13849,128236,2
13849,1048952,1
53187,126063,5
53187,1094516,4
53187,172520,3
53187,36103,2
53187,403811,1
